Route,URL,Avg Stars,Rating,Pitches,Length,Area Latitude,Area Longitude,PG13,R,State,Region,Location,Crag,Wall,Trad,Alpine,TR,Aid,Boulder,Mixed
Freak Show,https://www.mountainproject.com/route/105879837/freak-show,2.4,5.9,2,160.0,37.19743,-113.64353,False,False,Utah,Southwest Utah,Saint George,Snow Canyon State Park,Island In The Sky,False,False,False,False,False,False
Stepping Out,https://www.mountainproject.com/route/106615703/stepping-out,2.7,5.9,2,160.0,37.19133,-113.64333,False,False,Utah,Southwest Utah,Saint George,Snow Canyon State Park,Island In The Sky,True,False,False,False,False,False
Heroes Get Remembered,https://www.mountainproject.com/route/119396630/heroes-get-remembered,3.4,5.9,5,400.0,37.19133,-113.64333,False,False,Utah,Southwest Utah,Saint George,Snow Canyon State Park,Island In The Sky,False,False,False,False,False,False
Jimmy Durante,https://www.mountainproject.com/route/107399937/jimmy-durante,1.5,5.9+ ,3,330.0,37.19133,-113.64333,False,True,Utah,Southwest Utah,Saint George,Snow Canyon State Park,Island In The Sky,False,False,False,False,False,False
Leopard's Tail,https://www.mountainproject.com/route/107401707/leopards-tail,1.0,5.9+ ,3,330.0,37.19133,-113.64333,True,False,Utah,Southwest Utah,Saint George,Snow Canyon State Park,Island In The Sky,True,False,False,False,False,False
Sands of Blood,https://www.mountainproject.com/route/105787215/sands-of-blood,1.9,5.9,1,40.0,37.13919,-113.60558,False,False,Utah,Southwest Utah,Saint George,Chuckwalla Wall,,False,False,False,False,False,False
Sand Puppy,https://www.mountainproject.com/route/107145397/sand-puppy,1.8,5.9+,1,30.0,37.13919,-113.60558,False,False,Utah,Southwest Utah,Saint George,Chuckwalla Wall,,False,False,False,False,False,False
Casual Slander,https://www.mountainproject.com/route/105718825/casual-slander,1.8,5.9,1,30.0,37.155,-113.6073,False,False,Utah,Southwest Utah,Saint George,Black Rocks,Sunny Side,False,False,True,False,False,False
Black Dwarf,https://www.mountainproject.com/route/105718504/black-dwarf,2.0,5.9+,1,50.0,37.155,-113.6073,False,False,Utah,Southwest Utah,Saint George,Black Rocks,Sunny Side,False,False,False,False,False,False
Solar Eclipse,https://www.mountainproject.com/route/105718507/solar-eclipse,1.9,5.9+,1,40.0,37.155,-113.6073,False,False,Utah,Southwest Utah,Saint George,Black Rocks,Sunny Side,False,False,False,False,False,False
Jerry's on Deck,https://www.mountainproject.com/route/106649999/jerrys-on-deck,1.7,5.9+,1,40.0,37.155,-113.6073,False,False,Utah,Southwest Utah,Saint George,Black Rocks,Sunny Side,False,False,False,False,False,False
Hippy's at Bat,https://www.mountainproject.com/route/106650004/hippys-at-bat,1.8,5.9+,1,40.0,37.155,-113.6073,False,False,Utah,Southwest Utah,Saint George,Black Rocks,Sunny Side,False,False,False,False,False,False
"Run Bunny, Run",https://www.mountainproject.com/route/105930881/run-bunny-run,1.6,5.9,1,35.0,37.1548,-113.6074,False,False,Utah,Southwest Utah,Saint George,Black Rocks,Shady Side,False,False,True,False,False,False
Indifference,https://www.mountainproject.com/route/105930887/indifference,1.8,5.9,1,35.0,37.1548,-113.6074,False,False,Utah,Southwest Utah,Saint George,Black Rocks,Shady Side,False,False,True,False,False,False
The Fella's,https://www.mountainproject.com/route/109587676/the-fellas,2.4,5.9 ,1,35.0,37.1548,-113.6074,True,False,Utah,Southwest Utah,Saint George,Black Rocks,Shady Side,False,False,False,False,False,False
Entropy,https://www.mountainproject.com/route/111700013/entropy,2.0,5.9,1,35.0,37.1548,-113.6074,False,False,Utah,Southwest Utah,Saint George,Black Rocks,Shady Side,False,False,False,False,False,False
Chromatic Aberration,https://www.mountainproject.com/route/106665892/chromatic-aberration,2.2,5.9,1,35.0,37.15314,-113.60929,False,False,Utah,Southwest Utah,Saint George,Black Rocks,Shady Side West,False,False,False,False,False,False
Ship of Fools,https://www.mountainproject.com/route/106053502/ship-of-fools,2.7,5.9-,1,150.0,37.2939,-113.6932,False,False,Utah,Southwest Utah,Saint George,Prophesy Wall,,False,False,False,False,False,False
Whatever Happens...Happens (aka. Watermelon Wishes and 40oz dreams),https://www.mountainproject.com/route/106038464/whatever-happenshappens-aka-watermelon-wishes-and-40oz-dreams,2.7,5.9,1,110.0,37.2939,-113.6932,False,False,Utah,Southwest Utah,Saint George,Prophesy Wall,,True,False,False,False,False,False
The Soffit of Jericho,https://www.mountainproject.com/route/106038469/the-soffit-of-jericho,2.7,5.9,1,70.0,37.2939,-113.6932,False,False,Utah,Southwest Utah,Saint George,Prophesy Wall,,False,False,False,False,False,False
Past Lives,https://www.mountainproject.com/route/106056709/past-lives,3.0,5.9,3,180.0,37.2939,-113.6932,False,False,Utah,Southwest Utah,Saint George,Prophesy Wall,,False,False,False,False,False,False
Harsh Reality,https://www.mountainproject.com/route/106065730/harsh-reality,2.5,5.9,2,190.0,37.2939,-113.6932,False,False,Utah,Southwest Utah,Saint George,Prophesy Wall,,False,False,False,False,False,False
Elizabeth Blue Moss,https://www.mountainproject.com/route/108005816/elizabeth-blue-moss,1.9,5.9,1,40.0,37.2939,-113.6932,False,False,Utah,Southwest Utah,Saint George,Prophesy Wall,,False,False,False,False,False,False
Omens,https://www.mountainproject.com/route/118730850/omens,1.8,5.9,1,60.0,37.2939,-113.6932,False,False,Utah,Southwest Utah,Saint George,Prophesy Wall,,False,False,False,False,False,False
Remains to be Seen,https://www.mountainproject.com/route/106947200/remains-to-be-seen,2.6,5.9+,2,220.0,37.2939,-113.6932,False,False,Utah,Southwest Utah,Saint George,Prophesy Wall,,False,False,False,False,False,False
Bare Necessities,https://www.mountainproject.com/route/110063017/bare-necessities,0.9,5.9,1,30.0,37.08852,-113.63779,False,False,Utah,Southwest Utah,Saint George,Green Valley Gap,,False,False,False,False,False,False
Lamenites,https://www.mountainproject.com/route/111425415/lamenites,2.2,5.9,1,20.0,37.08852,-113.63779,False,False,Utah,Southwest Utah,Saint George,Green Valley Gap,,False,False,False,False,False,False
Perky's Playground,https://www.mountainproject.com/route/105787623/perkys-playground,2.3,5.9,1,40.0,37.08852,-113.63779,False,False,Utah,Southwest Utah,Saint George,Green Valley Gap,,False,False,False,False,False,False
12 Gauge Conversion,https://www.mountainproject.com/route/105795887/12-gauge-conversion,2.1,5.9+,1,35.0,37.08852,-113.63779,False,False,Utah,Southwest Utah,Saint George,Green Valley Gap,,False,False,True,False,False,False
Hue and Cry,https://www.mountainproject.com/route/105930908/hue-and-cry,2.3,5.9+,1,35.0,37.08852,-113.63779,False,False,Utah,Southwest Utah,Saint George,Green Valley Gap,,False,False,False,False,False,False
Luck of the Irish,https://www.mountainproject.com/route/106134072/luck-of-the-irish,2.1,5.9+,1,30.0,37.08852,-113.63779,False,False,Utah,Southwest Utah,Saint George,Green Valley Gap,,False,False,False,False,False,False
Caesar's Corner,https://www.mountainproject.com/route/105824406/caesars-corner,1.9,5.9,1,50.0,37.33604,-113.68702,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Negative Ions,https://www.mountainproject.com/route/107249307/negative-ions,2.6,5.9,1,,37.33604,-113.68702,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Leftovers,https://www.mountainproject.com/route/107596176/leftovers,2.4,5.9,1,50.0,37.33604,-113.68702,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Fish Story,https://www.mountainproject.com/route/107597539/fish-story,2.3,5.9,1,50.0,37.33604,-113.68702,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Super Fly,https://www.mountainproject.com/route/105849901/super-fly,2.4,5.9,1,55.0,37.33492,-113.68818,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Turnstyles,https://www.mountainproject.com/route/106706269/turnstyles,2.4,5.9,1,55.0,37.33556,-113.68788,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Infarctions don't Stink,https://www.mountainproject.com/route/110252075/infarctions-dont-stink,2.0,5.9+,1,40.0,37.33716,-113.68594,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Ego Massage,https://www.mountainproject.com/route/106762136/ego-massage,1.6,5.9,1,40.0,37.33517,-113.68913,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Barney With An Attitude,https://www.mountainproject.com/route/106762142/barney-with-an-attitude,1.4,5.9,1,40.0,37.33517,-113.68913,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Pipe Stem,https://www.mountainproject.com/route/108349797/pipe-stem,2.3,5.9,1,40.0,37.33362,-113.69073,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Pipe Down,https://www.mountainproject.com/route/108349817/pipe-down,2.6,5.9,1,40.0,37.33362,-113.69073,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Put That in Your Pipe and Smoke It,https://www.mountainproject.com/route/108349712/put-that-in-your-pipe-and-smoke-it,2.3,5.9+,1,40.0,37.33362,-113.69073,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Staircase,https://www.mountainproject.com/route/111633504/staircase,1.5,5.9+,1,50.0,37.33679,-113.68712,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Mystics of Muscle,https://www.mountainproject.com/route/119995724/mystics-of-muscle,1.0,5.9-,1,35.0,37.33621,-113.68746,False,False,Utah,Southwest Utah,Saint George,Veyo,,False,False,False,False,False,False
Makin Bacon,https://www.mountainproject.com/route/120599909/makin-bacon,3.0,5.9,1,40.0,37.1618,-113.6102,False,False,Utah,Southwest Utah,Saint George,Cougar Cliffs,,False,False,False,False,False,False
Pearls Before Swine,https://www.mountainproject.com/route/106374636/pearls-before-swine,2.5,5.9,1,40.0,37.1618,-113.6102,False,False,Utah,Southwest Utah,Saint George,Cougar Cliffs,,False,False,False,False,False,False
Noodle Doodle,https://www.mountainproject.com/route/114476298/noodle-doodle,2.5,5.9,1,35.0,37.1618,-113.6102,False,False,Utah,Southwest Utah,Saint George,Cougar Cliffs,,False,False,True,False,False,False
Porca Miseria,https://www.mountainproject.com/route/120600007/porca-miseria,2.4,5.9+,1,40.0,37.1618,-113.6102,False,False,Utah,Southwest Utah,Saint George,Cougar Cliffs,,False,False,False,False,False,False
Swine of a Rock,https://www.mountainproject.com/route/120600022/swine-of-a-rock,2.4,5.9+,1,40.0,37.1618,-113.6102,False,False,Utah,Southwest Utah,Saint George,Cougar Cliffs,,False,False,False,False,False,False
When Pigs Fly,https://www.mountainproject.com/route/120600034/when-pigs-fly,2.6,5.9+,1,40.0,37.1618,-113.6102,False,False,Utah,Southwest Utah,Saint George,Cougar Cliffs,,False,False,False,False,False,False
Baby Swiss,https://www.mountainproject.com/route/106978358/baby-swiss,2.6,5.9,1,35.0,37.11691,-113.57585,False,False,Utah,Southwest Utah,Saint George,Pioneer Park,The Narrow,False,False,False,False,False,False
Graffiti Madness,https://www.mountainproject.com/route/107119545/graffiti-madness,1.1,5.9,1,25.0,37.1709,-113.71399,False,False,Utah,Southwest Utah,Saint George,Shotgun Alley,,False,False,True,False,False,False
Combing Up Sars,https://www.mountainproject.com/route/108017774/combing-up-sars,2.0,5.9,1,30.0,37.1709,-113.71399,False,False,Utah,Southwest Utah,Saint George,Shotgun Alley,,False,False,True,False,False,False
Breakfast at Tiffany's,https://www.mountainproject.com/route/106818178/breakfast-at-tiffanys,2.4,5.9,1,40.0,37.1709,-113.71399,False,False,Utah,Southwest Utah,Saint George,Shotgun Alley,,False,False,True,False,False,False
Awesome,https://www.mountainproject.com/route/106851160/awesome,1.7,5.9,1,25.0,37.1709,-113.71399,False,False,Utah,Southwest Utah,Saint George,Shotgun Alley,,False,False,False,False,False,False
Spaghetti Western,https://www.mountainproject.com/route/106853932/spaghetti-western,1.3,5.9,1,25.0,37.1709,-113.71399,False,False,Utah,Southwest Utah,Saint George,Shotgun Alley,,False,False,False,False,False,False
Vomit Free Since Ninety Three,https://www.mountainproject.com/route/107123121/vomit-free-since-ninety-three,1.8,5.9+,1,20.0,37.1709,-113.71399,False,False,Utah,Southwest Utah,Saint George,Shotgun Alley,,False,False,False,False,False,False
Team Awesome,https://www.mountainproject.com/route/106978379/team-awesome,1.6,5.9,1,45.0,37.1515,-113.4416,False,False,Utah,Southwest Utah,Saint George,Coral Canyon Ridge,,False,False,False,False,False,False
Late Night Questioning,https://www.mountainproject.com/route/107228704/late-night-questioning,1.9,5.9,1,60.0,37.40653,-113.53788,False,False,Utah,Southwest Utah,Saint George,Pine Valley,Unemployment wall,False,False,False,False,False,False
Up The Rabbit's Hole,https://www.mountainproject.com/route/107273288/up-the-rabbits-hole,2.0,5.9,1,65.0,37.40653,-113.53788,False,False,Utah,Southwest Utah,Saint George,Pine Valley,Unemployment wall,False,False,False,False,False,False
Plan B,https://www.mountainproject.com/route/107229081/plan-b,1.6,5.9,1,35.0,37.4064,-113.53835,False,False,Utah,Southwest Utah,Saint George,Pine Valley,The Playpen,False,False,False,False,False,False
Insect Mating Rituals,https://www.mountainproject.com/route/107229085/insect-mating-rituals,2.1,5.9,1,35.0,37.4064,-113.53835,False,False,Utah,Southwest Utah,Saint George,Pine Valley,The Playpen,False,False,False,False,False,False
Drop It Low,https://www.mountainproject.com/route/123168531/drop-it-low,2.0,5.9-,1,45.0,37.40518,-113.52671,False,False,Utah,Southwest Utah,Saint George,Pine Valley,The  Secret Garden,False,False,True,False,False,False
unnamed,https://www.mountainproject.com/route/117739466/unnamed,2.8,5.9 ,1,40.0,37.04746,-113.51275,True,False,Utah,Southwest Utah,Saint George,Garth Rocks,Aerial Wall,False,False,True,False,False,False
Meow Mix,https://www.mountainproject.com/route/110173566/meow-mix,2.3,5.9,1,45.0,37.04746,-113.51275,False,False,Utah,Southwest Utah,Saint George,Garth Rocks,Aerial Wall,False,False,True,False,False,False
Hotter than a Supernova,https://www.mountainproject.com/route/110216523/hotter-than-a-supernova,3.2,5.9+,1,35.0,37.04746,-113.51275,False,False,Utah,Southwest Utah,Saint George,Garth Rocks,Aerial Wall,False,False,True,False,False,False
Cheeks of Chong,https://www.mountainproject.com/route/107916462/cheeks-of-chong,1.5,5.9,1,65.0,37.09914,-113.90439,False,False,Utah,Southwest Utah,Saint George,Welcome Springs,The Sumo Wall,False,False,False,False,False,False
Beauty Pageant,https://www.mountainproject.com/route/106685023/beauty-pageant,2.8,5.9,1,100.0,37.0175,-113.8518,False,False,Utah,Southwest Utah,Saint George,Utah Hills,Woodbury Road Crags,False,False,False,False,False,False
Topless Vegetables,https://www.mountainproject.com/route/107072603/topless-vegetables,2.3,5.9,1,60.0,37.0183,-113.8498,False,False,Utah,Southwest Utah,Saint George,Utah Hills,Woodbury Road Crags,False,False,False,False,False,False
The Awakening,https://www.mountainproject.com/route/107147274/the-awakening,2.2,5.9,1,40.0,37.0183,-113.8498,False,False,Utah,Southwest Utah,Saint George,Utah Hills,Woodbury Road Crags,False,False,False,False,False,False
K-3,https://www.mountainproject.com/route/107147355/k-3,1.9,5.9 ,1,40.0,37.0183,-113.8498,True,False,Utah,Southwest Utah,Saint George,Utah Hills,Woodbury Road Crags,False,False,False,False,False,False
Defoliant,https://www.mountainproject.com/route/107209300/defoliant,1.8,5.9,1,65.0,37.0183,-113.8498,False,False,Utah,Southwest Utah,Saint George,Utah Hills,Woodbury Road Crags,False,False,False,False,False,False
April Fools,https://www.mountainproject.com/route/107405809/april-fools,2.1,5.9,1,60.0,37.0286,-113.864,False,False,Utah,Southwest Utah,Saint George,Utah Hills,Woodbury Road Crags,False,False,False,False,False,False
Torsades de Pointes,https://www.mountainproject.com/route/111547339/torsades-de-pointes,2.1,5.9,1,55.0,37.0286,-113.864,False,False,Utah,Southwest Utah,Saint George,Utah Hills,Woodbury Road Crags,False,False,False,False,False,False
Curmudgeons,https://www.mountainproject.com/route/106359407/curmudgeons,1.9,5.9,1,55.0,37.0286,-113.864,False,False,Utah,Southwest Utah,Saint George,Utah Hills,Woodbury Road Crags,False,False,False,False,False,False
Crimes of Passion,https://www.mountainproject.com/route/106624284/crimes-of-passion,1.5,5.9,1,65.0,37.0286,-113.864,False,False,Utah,Southwest Utah,Saint George,Utah Hills,Woodbury Road Crags,False,False,False,False,False,False
Quaker Oats,https://www.mountainproject.com/route/107405615/quaker-oats,2.3,5.9+,1,60.0,37.0286,-113.864,False,False,Utah,Southwest Utah,Saint George,Utah Hills,Woodbury Road Crags,False,False,False,False,False,False
Spirit World,https://www.mountainproject.com/route/106943822/spirit-world,2.6,5.9,1,60.0,37.07398,-113.81909,False,False,Utah,Southwest Utah,Saint George,Utah Hills,The Soul Asylum,False,False,False,False,False,False
Baby Seal,https://www.mountainproject.com/route/108761761/baby-seal,2.1,5.9,1,55.0,37.07398,-113.81909,False,False,Utah,Southwest Utah,Saint George,Utah Hills,The Soul Asylum,False,False,False,False,False,False
Pink Coral,https://www.mountainproject.com/route/112447099/pink-coral,2.6,5.9,1,60.0,37.07398,-113.81909,False,False,Utah,Southwest Utah,Saint George,Utah Hills,The Soul Asylum,False,False,False,False,False,False
Vulcan Nerve Pinch,https://www.mountainproject.com/route/120125405/vulcan-nerve-pinch,2.5,5.9,1,70.0,37.07398,-113.81909,False,False,Utah,Southwest Utah,Saint George,Utah Hills,The Soul Asylum,False,False,False,False,False,False
Klingons Circling Uranus,https://www.mountainproject.com/route/120123650/klingons-circling-uranus,2.6,5.9+,1,82.0,37.07398,-113.81909,False,False,Utah,Southwest Utah,Saint George,Utah Hills,The Soul Asylum,False,False,False,False,False,False
Joy!  Joy!,https://www.mountainproject.com/route/108799091/joy-joy,1.7,5.9,1,30.0,37.07353,-113.81905,False,False,Utah,Southwest Utah,Saint George,Utah Hills,The Soul Asylum,False,False,False,False,False,False
Burning Ring of Fire,https://www.mountainproject.com/route/108799102/burning-ring-of-fire,3.0,5.9+,1,30.0,37.07353,-113.81905,False,False,Utah,Southwest Utah,Saint George,Utah Hills,The Soul Asylum,False,False,False,False,False,False
Happy Happy,https://www.mountainproject.com/route/112336458/happy-happy,2.3,5.9+,1,40.0,37.07353,-113.81905,False,False,Utah,Southwest Utah,Saint George,Utah Hills,The Soul Asylum,False,False,False,False,False,False
D'Zard,https://www.mountainproject.com/route/111362733/dzard,1.9,5.9,1,70.0,37.13401,-113.84451,False,False,Utah,Southwest Utah,Saint George,Beaver Dam Road,Sunset Alley,False,False,False,False,False,False
Good Morning,https://www.mountainproject.com/route/113627784/good-morning,1.9,5.9,1,65.0,37.13296,-113.84369,False,False,Utah,Southwest Utah,Saint George,Beaver Dam Road,Sunset Alley,False,False,False,False,False,False
Fun,https://www.mountainproject.com/route/110587569/fun,2.3,5.9+,1,45.0,37.13291,-113.84322,False,False,Utah,Southwest Utah,Saint George,Beaver Dam Road,Sunset Alley,False,False,False,False,False,False
Ahh.shit.son (Atchison),https://www.mountainproject.com/route/113790244/ahhshitson-atchison,3.0,5.9-,1,35.0,37.4463,-113.58656,False,False,Utah,Southwest Utah,Saint George,8 Mile,,False,False,False,False,False,False
Echolocation,https://www.mountainproject.com/route/114122448/echolocation,2.7,5.9,1,25.0,37.11769,-113.66602,False,False,Utah,Southwest Utah,Saint George,Cove Wash,,False,False,False,False,False,False
It's Electrifying,https://www.mountainproject.com/route/106284410/its-electrifying,1.8,5.9,1,40.0,37.64232,-113.29134,False,False,Utah,Southwest Utah,Cedar City,Pocket Rocks,,False,False,False,False,False,False
Carnivorous Bitch,https://www.mountainproject.com/route/106436252/carnivorous-bitch,2.1,5.9,1,50.0,37.64232,-113.29134,False,False,Utah,Southwest Utah,Cedar City,Pocket Rocks,,False,False,False,False,False,False
Psychoslabaddict,https://www.mountainproject.com/route/105974217/psychoslabaddict,2.8,5.9+,1,65.0,37.61454,-112.93239,False,False,Utah,Southwest Utah,Cedar City,Cedar Canyon,mile wall,False,False,False,False,False,False
The Adventure Route,https://www.mountainproject.com/route/106197444/the-adventure-route,3.1,5.9+,1,80.0,37.61602,-112.93205,False,False,Utah,Southwest Utah,Cedar City,Cedar Canyon,Rappel Wall Area,False,False,False,False,False,False
Kingpin,https://www.mountainproject.com/route/106488522/kingpin,2.2,5.9-,1,70.0,37.6722,-113.0375,False,False,Utah,Southwest Utah,Cedar City,Cedar Canyon,Bowling Alley,False,False,True,False,False,False
Driftwood,https://www.mountainproject.com/route/108455253/driftwood,2.0,5.9,1,40.0,37.6078,-112.93482,False,False,Utah,Southwest Utah,Cedar City,Cedar Canyon,987 Wall,False,False,False,False,False,False
Mr. Anderson,https://www.mountainproject.com/route/108455274/mr-anderson,2.4,5.9,1,40.0,37.6078,-112.93482,False,False,Utah,Southwest Utah,Cedar City,Cedar Canyon,987 Wall,False,False,False,False,False,False
Electric Company,https://www.mountainproject.com/route/106464998/electric-company,2.3,5.9,1,30.0,37.63609,-113.27531,False,False,Utah,Southwest Utah,Cedar City,The Cone Area,,False,False,False,False,False,False
What About Bob,https://www.mountainproject.com/route/116555966/what-about-bob,2.3,5.9,1,90.0,37.7909,-112.78242,False,False,Utah,Southwest Utah,Parowan,Parowan Canyon,Yankee Meadows Road,False,False,False,False,False,False
Hollow Point,https://www.mountainproject.com/route/108670186/hollow-point,1.7,5.9+,1,100.0,37.73441,-112.83601,False,False,Utah,Southwest Utah,Parowan,Parowan Canyon,Hollow Point,False,False,False,False,False,False
Helmet Panty,https://www.mountainproject.com/route/113968963/helmet-panty,3.0,5.9,1,60.0,37.8978,-112.9475,False,False,Utah,Southwest Utah,Parowan,,,False,False,False,False,False,False
As the Song and Dance Begins,https://www.mountainproject.com/route/105854521/as-the-song-and-dance-begins,1.9,5.9,1,30.0,37.7154,-112.7747,False,False,Utah,Southwest Utah,Brian Head,The Overlook,The Starting Block,False,True,False,False,False,False
What's My Line,https://www.mountainproject.com/route/106576639/whats-my-line,1.8,5.9,1,25.0,37.7154,-112.7747,False,False,Utah,Southwest Utah,Brian Head,The Overlook,The Starting Block,False,True,False,False,False,False
Midget Marathon,https://www.mountainproject.com/route/108251359/midget-marathon,2.6,5.9,1,30.0,37.7154,-112.7747,False,False,Utah,Southwest Utah,Brian Head,The Overlook,The Zoo,False,True,False,False,False,False
Blackbird fly,https://www.mountainproject.com/route/112439055/blackbird-fly,3.4,5.9,1,,37.66748,-112.71436,False,False,Utah,Southwest Utah,Brian Head,The Running Scared Wall,The Dark Tower,False,False,False,False,False,False
Unknown,https://www.mountainproject.com/route/124382359/unknown,3.0,5.9-,1,40.0,37.66609,-112.71351,False,False,Utah,Southwest Utah,Brian Head,The Running Scared Wall,School Room,False,False,False,False,False,False
Crescent Moonwalk,https://www.mountainproject.com/route/114956496/crescent-moonwalk,2.7,5.9 ,1,75.0,37.66662,-112.71391,True,False,Utah,Southwest Utah,Brian Head,The Running Scared Wall,The Suess Wall,False,False,False,False,False,False
The Places You'll Go,https://www.mountainproject.com/route/124423183/the-places-youll-go,3.0,5.9,1,65.0,37.66662,-112.71391,False,False,Utah,Southwest Utah,Brian Head,The Running Scared Wall,The Suess Wall,False,False,False,False,False,False
The Lorax,https://www.mountainproject.com/route/107185619/the-lorax,3.0,5.9,1,65.0,37.66662,-112.71391,False,False,Utah,Southwest Utah,Brian Head,The Running Scared Wall,The Suess Wall,False,False,False,False,False,False
Trivialities,https://www.mountainproject.com/route/124422717/trivialities,3.0,5.9,1,30.0,37.66831,-112.71453,False,False,Utah,Southwest Utah,Brian Head,The Running Scared Wall,Dysfunctional Wall,False,False,False,False,False,False
Fort Knox,https://www.mountainproject.com/route/122844695/fort-knox,2.0,5.9,1,50.0,37.2721,-112.52108,False,False,Utah,Southwest Utah,Kanab Area,Kanab Creek Crag,,False,False,False,False,False,False
Gold Standard,https://www.mountainproject.com/route/122844691/gold-standard,3.3,5.9+,1,50.0,37.2721,-112.52108,False,False,Utah,Southwest Utah,Kanab Area,Kanab Creek Crag,,False,False,False,False,False,False
Super Far Right,https://www.mountainproject.com/route/120190829/super-far-right,1.5,5.9-,1,,37.0977,-112.54477,False,False,Utah,Southwest Utah,Kanab Area,Port of Entry Crag,,False,False,False,False,False,False
Unnamed 5-something Sport,https://www.mountainproject.com/route/119935970/unnamed-5-something-sport,2.2,5.9-,1,40.0,39.10913,-110.66231,False,False,Utah,South Central Utah,San Rafael Swell,North,,False,False,False,False,False,False
Changing of the Guard,https://www.mountainproject.com/route/107740179/changing-of-the-guard,2.3,5.9,1,110.0,39.08166,-110.64081,False,False,Utah,South Central Utah,San Rafael Swell,North,,False,False,False,False,False,False
Haagenburner,https://www.mountainproject.com/route/120362065/haagenburner,2.8,5.9,1,50.0,39.10868,-110.67378,False,False,Utah,South Central Utah,San Rafael Swell,North,,False,False,False,False,False,False
Velvet America,https://www.mountainproject.com/route/106733811/velvet-america,2.7,5.9 ,1,190.0,38.88347,-110.45548,True,False,Utah,South Central Utah,San Rafael Swell,South,,True,False,False,False,False,False
Black and Tan,https://www.mountainproject.com/route/107344523/black-and-tan,3.0,5.9,1,100.0,38.88347,-110.45548,False,False,Utah,South Central Utah,San Rafael Swell,South,,True,False,False,False,False,False
Tip Toe Treat,https://www.mountainproject.com/route/107345986/tip-toe-treat,3.0,5.9,1,200.0,38.88347,-110.45548,False,False,Utah,South Central Utah,San Rafael Swell,South,,True,False,False,False,False,False
PG Tips. .,https://www.mountainproject.com/route/107305938/pg-tips,3.0,5.9,1,140.0,38.84162,-110.468,False,False,Utah,South Central Utah,San Rafael Swell,South,,True,False,False,False,False,False
Rat in the Hat,https://www.mountainproject.com/route/106579911/rat-in-the-hat,3.0,5.9-,1,170.0,38.85834,-110.46595,False,False,Utah,South Central Utah,San Rafael Swell,South,,True,False,False,False,False,False
The Wilting Flower,https://www.mountainproject.com/route/107377338/the-wilting-flower,2.0,5.9,1,170.0,38.85834,-110.46595,False,False,Utah,South Central Utah,San Rafael Swell,South,,True,False,False,False,False,False
Curiosity Killed the Rat,https://www.mountainproject.com/route/106579822/curiosity-killed-the-rat,2.5,5.9+,1,180.0,38.85834,-110.46595,False,False,Utah,South Central Utah,San Rafael Swell,South,,True,False,False,False,False,False
Rat Trap,https://www.mountainproject.com/route/106579845/rat-trap,3.0,5.9+,1,165.0,38.85834,-110.46595,False,False,Utah,South Central Utah,San Rafael Swell,South,,True,False,False,False,False,False
Ross Not,https://www.mountainproject.com/route/112143069/ross-not,2.0,5.9,1,80.0,38.88347,-110.45548,False,False,Utah,South Central Utah,San Rafael Swell,South,,False,False,False,False,False,False
Labour of Love,https://www.mountainproject.com/route/106892663/labour-of-love,2.0,5.9- ,1,160.0,38.88347,-110.45548,False,True,Utah,South Central Utah,San Rafael Swell,South,,True,False,False,False,False,False
Off the Couch,https://www.mountainproject.com/route/106876993/off-the-couch,3.0,5.9 ,1,160.0,38.88347,-110.45548,False,True,Utah,South Central Utah,San Rafael Swell,South,,True,False,False,False,False,False
Hard Labour,https://www.mountainproject.com/route/106883054/hard-labour,3.0,5.9,1,150.0,38.88347,-110.45548,False,False,Utah,South Central Utah,San Rafael Swell,South,,True,False,False,False,False,False
Prairie Dog,https://www.mountainproject.com/route/121922458/prairie-dog,1.0,5.9,1,35.0,38.79847,-110.45724,False,False,Utah,South Central Utah,San Rafael Swell,South,,False,False,False,False,False,False
The Answer,https://www.mountainproject.com/route/107441553/the-answer,1.5,5.9+,1,50.0,38.68727,-111.00132,False,False,Utah,South Central Utah,San Rafael Swell,South,,False,False,False,False,False,False
Blue Collar Ape,https://www.mountainproject.com/route/106806408/blue-collar-ape,2.4,5.9,1,60.0,37.7503,-111.8708,False,False,Utah,South Central Utah,on the Aquarius Plateau,,,False,True,False,False,False,False
Simeon Smile,https://www.mountainproject.com/route/107686198/simeon-smile,2.3,5.9,1,45.0,37.754,-111.8714,False,False,Utah,South Central Utah,on the Aquarius Plateau,,,False,True,False,False,False,False
