Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"License to 66 (Linkup)","The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/124735301/license-to-66-linkup,3.3,-1,Sport,5.11d,1,50,40.44666,-111.68668
"High on Boulder","The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108295856/high-on-boulder,2.6,-1,Sport,5.11d,1,40,40.44666,-111.68668
26,"The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107719904/26,2.1,-1,Sport,5.12a,1,36,40.44666,-111.68668
"Route 66","The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105739952/route-66,3.1,-1,Sport,5.12a,1,,40.44666,-111.68668
Mandela,"The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105836690/mandela,2.6,-1,Sport,5.12a,1,60,40.44666,-111.68668
"Litmus Test","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106043413/litmus-test,3.1,-1,Sport,5.11c,1,70,40.4503,-111.668
"Nowhere to Go","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106060429/nowhere-to-go,1.7,-1,Sport,5.11c,1,45,40.4503,-111.668
Division,"Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741254/division,3.4,-1,Sport,5.11d,1,60,40.4503,-111.668
"Total Recall","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106056195/total-recall,2.9,-1,Sport,5.11d,1,60,40.4503,-111.668
"Struggling Man","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741257/struggling-man,2.7,-1,Sport,5.12a,1,,40.4503,-111.668
"Liquid Oxygen","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106203383/liquid-oxygen,3.2,-1,Sport,5.12a,1,40,40.4503,-111.668
"Shark Club","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106281936/shark-club,2.5,-1,Sport,5.12a,2,70,40.4503,-111.668
Distraction,"Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/110736785/distraction,2.1,-1,Sport,5.11c,1,,40.44472,-111.69582
"The Price Is Right","Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/110736773/the-price-is-right,2.3,-1,Sport,5.11d,1,,40.44472,-111.69582
"Stay on the Porch","Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107307880/stay-on-the-porch,2.3,-1,Sport,5.11d,1,60,40.44472,-111.69582
Orogeny,"Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107307876/orogeny,3.0,-1,Sport,5.12a,1,65,40.44472,-111.69582
"Fatal Discharge","Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/112313844/fatal-discharge,2.4,-1,Sport,5.12a,1,,40.44472,-111.69582
"Rock Requiem","Escape Buttress > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106061640/rock-requiem,3.2,-1,Sport,5.11c,1,70,40.4511,-111.6701
"The Edge of Chaos","White Wave Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106128914/the-edge-of-chaos,3.2,-1,Sport,5.11b/c,1,85,40.4507,-111.6711
"Kill Your Lawyer","White Wave Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106159606/kill-your-lawyer,2.2,-1,Sport,5.11b/c,1,40,40.4507,-111.6711
"Virtual Reality","White Wave Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107528959/virtual-reality,2.7,-1,Sport,5.11d,1,60,40.4507,-111.6711
"Naked Nebula","White Wave Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741125/naked-nebula,3.5,-1,Sport,5.12a,1,70,40.4507,-111.6711
"Sandbagged by the Weatherman","White Wave Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108360998/sandbagged-by-the-weatherman,2.5,-1,Sport,5.12a,1,40,40.4507,-111.6711
Cyberlag,"Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108309654/cyberlag,2.2,-1,Sport,5.11d,1,60,40.4507,-111.6717
Teeanova,"Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106194324/teeanova,3.7,-1,Sport,5.12a,1,90,40.4507,-111.6717
"Punch The Clock (Roof)","Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/111047634/punch-the-clock-roof,2.7,-1,Sport,5.12a/b,1,70,40.4507,-111.6717
"Cranial Impact","Juniper Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106056211/cranial-impact,2.8,-1,Sport,5.11c,1,55,40.4461,-111.6948
"Mystery Route Right","Juniper Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/122172898/mystery-route-right,3.0,-1,Sport,5.11c,1,80,40.4461,-111.6948
"Downtown Brown","Cannabis Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/109223956/downtown-brown,2.9,-1,Sport,5.11c,1,60,40.44647,-111.68747
"Mission Control","Cannabis Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106473947/mission-control,2.3,-1,Sport,5.11d,1,60,40.44647,-111.68747
"Field of Screams","Cannabis Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106490966/field-of-screams,3.2,-1,Sport,5.12a,1,60,40.44647,-111.68747
Hydroponic,"Cannabis Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108115872/hydroponic,2.4,-1,Sport,5.12a,1,50,40.44647,-111.68747
Desolation,"Isolation Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108295807/desolation,2.7,-1,Sport,5.11c,1,40,40.44649,-111.68579
Exile,"Isolation Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/113114704/exile,2.4,-1,Sport,5.11d,1,35,40.44649,-111.68579
"Taken 2","Isolation Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/115683440/taken-2,1.8,-1,Sport,5.11d,1,30,40.44649,-111.68579
Isolated,"Isolation Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/121092465/isolated,2.3,-1,Sport,5.12a,1,40,40.44649,-111.68579
"Lichen it","Little Mill Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/122863264/lichen-it,2.0,-1,Sport,5.11c,1,60,40.4493,-111.6726
"Pig Pen","Little Mill Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106425103/pig-pen,3.6,-1,Sport,5.12a/b,1,40,40.4493,-111.6726
Suspect,"The B-52 Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106825591/suspect,3.2,-1,Sport,5.11c,4,400,40.44548,-111.69298
"Superintendent's Limp Dick","The B-52 Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/118014700/superintendents-limp-dick,2.9,-1,Sport,5.11d,1,50,40.44548,-111.69298
"Stretch Armstrong","The B-52 Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/118047185/stretch-armstrong,3.0,-1,Sport,5.12a,1,70,40.44548,-111.69298
Matilda,"The Watchtower > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106009756/matilda,1.7,-1,Sport,5.11c,1,50,40.4462,-111.6958
"Step Right Up","The Watchtower > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106056175/step-right-up,3.5,-1,Sport,5.12a,1,50,40.4462,-111.6958
"Wasted and Wounded","The Watchtower > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106195386/wasted-and-wounded,2.8,-1,Sport,5.12a,1,45,40.4462,-111.6958
Spawning,"The Watchtower > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/111802165/spawning,2.7,-1,Sport,5.12a,1,50,40.4462,-111.6958
"The Pitching Wedge","The Watchtower > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108936668/the-pitching-wedge,2.3,-1,Sport,5.12-,1,50,40.4462,-111.6958
Corona,"Beer Can Alley > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106481514/corona,3.1,-1,Sport,5.11b/c,1,50,40.4452,-111.6982
PBR,"Beer Can Alley > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106955706/pbr,2.8,-1,Sport,5.11c,1,45,40.4452,-111.6982
"Mind Stream","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107209348/mind-stream,2.8,-1,Sport,5.11b/c,1,70,40.4451,-111.6911
"The Bleaker","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107205840/the-bleaker,2.9,-1,Sport,5.11c,1,45,40.4451,-111.6911
"Smooth Operator","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107278051/smooth-operator,2.3,-1,Sport,5.11c,1,50,40.4451,-111.6911
"Twisted Memories","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107309150/twisted-memories,2.6,-1,Sport,5.11c,1,70,40.4451,-111.6911
"Bumblies in the Dark","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107754871/bumblies-in-the-dark,3.5,-1,Sport,5.11c,1,60,40.4451,-111.6911
"Storm Tracker","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/124903121/storm-tracker,2.7,-1,Sport,5.11c,1,50,40.4451,-111.6911
"Dream Destroyer","Forgotten Trails > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107209359/dream-destroyer,2.3,-1,Sport,5.11d,1,60,40.4451,-111.6911
