Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Freaking Jesus","Jehovah Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/109352603/freaking-jesus,3.6,-1,Sport,5.12c/d,1,90,39.5551,-111.6752
"Jesus Freak","Jehovah Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/107816210/jesus-freak,4.0,-1,Sport,5.12d,1,115,39.5551,-111.6752
Deceptacon,"Jehovah Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/109352586/deceptacon,3.7,-1,Sport,5.12d,1,60,39.5551,-111.6752
"Ribonucleic Convulsions","Jehovah Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106476230/ribonucleic-convulsions,3.5,-1,Sport,5.12d,1,60,39.5551,-111.6752
"Raining snakes","Jehovah Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/110757989/raining-snakes,2.0,-1,Sport,5.12d,1,,39.5551,-111.6752
"The Exponent","Jehovah Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/113575958/the-exponent,2.3,-1,Sport,5.12d,1,50,39.5551,-111.6752
"Lucky Boy","The Impact Zone Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106530394/lucky-boy,2.9,-1,Sport,5.12b,1,50,39.5551,-111.6752
"Bolts Not Bitches","The Impact Zone Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106516683/bolts-not-bitches,3.0,-1,Sport,5.12c,1,60,39.5551,-111.6752
"Straw Man","The Impact Zone Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/119473251/straw-man,2.0,-1,Sport,5.12c,1,45,39.5551,-111.6752
"Halloween Parade","The Impact Zone Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/111330478/halloween-parade,3.0,-1,Sport,5.12c,1,,39.5551,-111.6752
"Lap Dance","The Impact Zone Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/114565861/lap-dance,3.2,-1,Sport,5.12d,1,60,39.5551,-111.6752
"Breaking the Eye","The Impact Zone Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/119473590/breaking-the-eye,3.0,-1,Sport,5.12d,1,50,39.5551,-111.6752
"Busload of Faith","The Impact Zone Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/111918366/busload-of-faith,2.8,-1,Sport,5.13a,1,45,39.5551,-111.6752
"Shootin' Blanks","The Entrance Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106441842/shootin-blanks,2.4,-1,Sport,5.12b,1,25,39.55503,-111.6757
"Stun Line","The Hole > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/110946551/stun-line,2.0,-1,Sport,5.13b,1,60,39.55684,-111.67599
"Black Days","The Hole > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/110946555/black-days,2.0,-1,Sport,5.13b,1,40,39.55684,-111.67599
"Truckload of Hate","2nd Arch Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/111326497/truckload-of-hate,2.5,-1,Sport,5.12d,1,,39.55638,-111.67574
